Zn,Ca,Sr,Mn,UTS,YieldStrength,Elongation,DegradationRate
0.5,0.2,0.1,0.1,215,145,12.4,0.52
1.0,0.2,0.1,0.1,240,165,13.1,0.48
2.0,0.3,0.1,0.1,268,188,14.2,0.44
3.0,0.3,0.2,0.2,285,205,13.8,0.41
4.0,0.4,0.2,0.2,296,218,12.9,0.39
5.0,0.5,0.3,0.3,302,226,11.6,0.36
1.0,0.5,0.2,0.1,252,172,14.8,0.45
2.0,0.6,0.2,0.2,278,196,15.1,0.42
3.0,0.7,0.3,0.2,290,210,14.4,0.40
4.0,0.8,0.3,0.3,301,224,13.2,0.38
5.0,1.0,0.4,0.3,309,233,12.0,0.35
1.0,0.2,0.3,0.1,243,166,13.4,0.47
2.0,0.3,0.4,0.2,270,191,14.0,0.43
3.0,0.4,0.5,0.2,286,208,13.6,0.41
4.0,0.5,0.6,0.3,299,222,12.7,0.38
5.0,0.6,0.7,0.3,308,231,11.9,0.35
2.0,0.2,0.2,0.5,266,187,13.5,0.43
3.0,0.3,0.2,0.6,283,203,13.0,0.40
4.0,0.4,0.3,0.7,296,217,12.3,0.38
5.0,0.5,0.3,0.8,305,229,11.5,0.35
0.5,0.5,0.2,0.2,218,148,12.6,0.51
1.0,0.6,0.3,0.2,250,171,14.3,0.46
2.0,0.7,0.4,0.3,276,195,14.6,0.42
3.0,0.8,0.5,0.3,289,211,13.9,0.40
4.0,0.9,0.6,0.4,300,225,13.0,0.37
5.0,1.0,0.7,0.4,310,236,12.1,0.34
